alpha,beta,distance_away,avg_distance
1.0,0.0,1,1.8159
1.0,0.0,2,1.8159
1.0,0.0,3,1.8159
1.0,0.1,1,1.8632
1.0,0.1,2,1.8284
1.0,0.1,3,1.8156
1.0,0.2,1,1.9118
1.0,0.2,2,1.8403
1.0,0.2,3,1.8142
1.0,0.3,1,1.9835
1.0,0.3,2,1.8563
1.0,0.3,3,1.8192
1.0,0.4,1,2.046
1.0,0.4,2,1.8763
1.0,0.4,3,1.834
1.0,0.5,1,2.1127
1.0,0.5,2,1.9051
1.0,0.5,3,1.8442
1.0,0.6,1,2.1662
1.0,0.6,2,1.932
1.0,0.6,3,1.8561
1.0,0.7,1,2.2214
1.0,0.7,2,1.9509
1.0,0.7,3,1.8718
1.0,0.8,1,2.2633
1.0,0.8,2,1.9758
1.0,0.8,3,1.8815
1.0,0.9,1,2.2989
1.0,0.9,2,2.0002
1.0,0.9,3,1.892
1.0,1.0,1,2.3275
1.0,1.0,2,2.0228
1.0,1.0,3,1.9112
1.1,0.0,1,1.7883
1.1,0.0,2,1.7883
1.1,0.0,3,1.7883
1.1,0.1,1,1.8349
1.1,0.1,2,1.8011
1.1,0.1,3,1.7899
1.1,0.2,1,1.8777
1.1,0.2,2,1.8143
1.1,0.2,3,1.7916
1.1,0.3,1,1.9261
1.1,0.3,2,1.8216
1.1,0.3,3,1.796
1.1,0.4,1,1.9796
1.1,0.4,2,1.8372
1.1,0.4,3,1.7979
1.1,0.5,1,2.0387
1.1,0.5,2,1.8539
1.1,0.5,3,1.8005
1.1,0.6,1,2.0897
1.1,0.6,2,1.8771
1.1,0.6,3,1.8105
1.1,0.7,1,2.1437
1.1,0.7,2,1.896
1.1,0.7,3,1.8226
1.1,0.8,1,2.191
1.1,0.8,2,1.9189
1.1,0.8,3,1.8318
1.1,0.9,1,2.226
1.1,0.9,2,1.9338
1.1,0.9,3,1.8461
1.1,1.0,1,2.2602
1.1,1.0,2,1.9521
1.1,1.0,3,1.8542
1.2,0.0,1,1.7711
1.2,0.0,2,1.7711
1.2,0.0,3,1.7711
1.2,0.1,1,1.8102
1.2,0.1,2,1.7804
1.2,0.1,3,1.7717
1.2,0.2,1,1.8495
1.2,0.2,2,1.7908
1.2,0.2,3,1.7759
1.2,0.3,1,1.8913
1.2,0.3,2,1.8046
1.2,0.3,3,1.7779
1.2,0.4,1,1.9337
1.2,0.4,2,1.816
1.2,0.4,3,1.7817
1.2,0.5,1,1.9875
1.2,0.5,2,1.8277
1.2,0.5,3,1.7839
1.2,0.6,1,2.0379
1.2,0.6,2,1.8406
1.2,0.6,3,1.7924
1.2,0.7,1,2.0813
1.2,0.7,2,1.8545
1.2,0.7,3,1.7961
1.2,0.8,1,2.1266
1.2,0.8,2,1.8722
1.2,0.8,3,1.8011
1.2,0.9,1,2.1682
1.2,0.9,2,1.8907
