poster_number,distance,n_components
1062,2.1,50
13999,1.5,50
9472,1.6,50
1437,2.5,50
13298,0.4,50
13,1.9,50
996,2.1,50
6699,1.8,50
14198,2.2,50
11783,2.7,50
165,2.6,50
7085,2.7,50
11758,2.7,50
14460,1.8,50
11385,2.5,50
8200,2.0,50
4194,1.6,50
11686,1.1,50
3905,1.7,50
3542,1.3,50
9180,2.6,50
5121,1.6,50
3529,0.6,50
3181,1.8,50
9512,0.8,50
7903,1.8,50
1777,2.3,50
6623,2.6,50
3330,0.8,50
3788,2.4,50
9079,1.1,50
10718,1.8,50
5376,1.3,50
12826,1.8,50
5572,2.0,50
5418,1.8,50
4133,2.8,50
8719,2.5,50
6150,0.6,50
11868,1.4,50
182,2.9,50
8814,1.2,50
2882,0.2,50
3127,2.1,50
13721,2.1,50
8031,3.0,50
4774,0.8,50
2472,1.1,50
12912,2.4,50
5328,0.9,50
10510,1.9,50
11680,2.1,50
8774,2.5,50
8601,2.8,50
12664,1.8,50
10108,2.2,50
9799,2.7,50
11078,2.3,50
1824,1.8,50
9346,2.5,50
1461,1.0,50
12688,2.2,50
12748,2.2,50
2470,2.7,50
9583,2.4,50
2029,2.8,50
3586,1.1,50
10423,1.0,50
10431,0.7,50
6717,2.9,50
13849,1.5,50
4365,2.9,50
197,0.5,50
10018,1.0,50
2816,1.6,50
6582,3.0,50
13068,2.1,50
8258,1.1,50
3718,2.7,50
6007,1.2,50
3129,1.9,50
10690,1.4,50
2049,2.0,50
9439,0.8,50
1620,1.2,50
1662,1.2,50
7473,2.6,50
2062,2.9,50
9858,3.0,50
9759,2.2,50
6591,2.1,50
5969,2.3,50
6301,2.3,50
897,1.8,50
2372,1.7,50
9576,2.2,50
6728,1.7,50
12333,1.9,50
3729,2.1,50
14112,0.6,50
1139,1.7,50
11243,2.1,50
6854,2.7,50
2026,2.7,50
680,1.3,50
13869,2.8,50
13924,0.9,50
7465,2.7,50
13717,1.2,50
2945,1.3,50
4588,0.9,50
5001,2.4,50
856,1.2,50
3641,2.1,50
2067,1.9,50
9200,1.4,50
10315,1.7,50
10818,2.5,50
5326,2.8,50
11399,1.8,50
11251,2.9,50
9248,2.1,50
14615,2.8,50
5564,2.0,50
10589,1.6,50
5156,1.2,50
10499,2.4,50
2264,1.4,50
4496,1.7,50
2144,1.6,50
14046,2.2,50
3778,2.6,50
6179,1.7,50
351,1.9,50
1668,2.4,50
12994,2.4,50
11586,1.1,50
6238,0.7,50
424,2.6,50
3837,2.2,50
13789,1.5,50
9370,2.7,50
9140,2.3,50
11574,2.7,50
6884,2.2,50
2799,3.0,50
13282,1.8,50
11978,1.8,50
6741,1.4,50
1438,0.8,50
85,1.9,50
10399,2.6,50
10696,2.3,50
5711,1.8,50
8924,2.5,50
1915,2.4,50
11206,2.7,50
1599,1.3,50
14314,1.2,50
719,1.4,50
2244,0.9,50
12514,2.1,50
13603,2.4,50
2700,2.4,50
12943,2.2,50
5096,2.5,50
184,1.2,50
6129,2.3,50
202,0.6,50
13307,2.0,50
3052,2.4,50
12527,0.8,50
1829,2.2,50
8267,2.0,50
5361,2.3,50
7237,3.0,50
13464,2.2,50
6001,1.0,50
10022,1.3,50
1938,2.1,50
13176,1.7,50
2100,2.1,50
9248,2.1,50
209,0.6,50
8848,2.0,50
3493,0.8,50
8118,2.5,50
10850,2.9,50
4439,1.9,50
8362,0.9,50
7889,2.0,50
6802,2.0,50
492,2.3,50
34,1.1,50
12642,3.0,50
4964,1.3,50
3457,2.4,50
9945,2.3,50
14389,2.4,50
3354,1.7,50
11848,1.1,50
9815,2.5,50
4151,1.1,50
5424,1.7,50
5780,1.7,50
614,2.9,50
13045,1.6,50
9428,0.9,50
4031,0.8,50
12822,2.1,50
4435,1.0,50
2364,0.8,50
3225,2.3,50
4776,0.1,50
5001,2.4,50
13289,2.3,50
8368,0.9,50
3249,1.0,50
14345,2.8,50
11057,2.6,50
8743,2.2,50
3207,1.1,50
4044,1.5,50
10371,2.1,50
10604,2.9,50
4545,1.8,50
8050,1.5,50
605,2.7,50
6650,3.0,50
3099,0.8,50
13494,1.0,50
4534,2.1,50
6735,0.8,50
5067,2.9,50
7229,3.0,50
7944,1.7,50
5949,1.7,50
1331,1.0,50
13651,2.9,50
14274,2.3,50
13675,0.9,50
726,2.4,50
13436,1.2,50
13858,3.0,50
7917,2.2,50
449,3.0,50
7106,1.6,50
11236,2.1,50
11558,2.0,50
11345,0.7,50
4675,1.3,50
6927,1.9,50
7068,1.8,50
6851,3.0,50
536,2.8,50
10043,2.4,50
428,0.9,50
2247,1.5,50
4193,1.2,50
10832,0.6,50
658,2.2,50
5768,1.2,50
753,0.2,50
139,0.8,50
2813,1.5,50
11982,0.9,50
14389,2.4,50
9621,1.9,50
8221,2.4,50
827,1.8,50
229,2.7,50
10009,1.3,50
1390,1.4,50
11333,2.1,50
10838,3.0,50
10824,1.7,50
5619,2.0,50
2524,2.2,50
7474,1.6,50
11204,0.8,50
7381,2.3,50
14425,1.2,50
6408,2.7,50
790,1.9,50
11112,2.2,50
7147,1.0,50
13426,2.7,50
12291,2.4,50
4592,1.9,50
9204,1.6,50
14319,0.7,50
4278,2.1,50
4145,2.0,50
2697,2.0,50
14649,2.4,50
12156,0.8,50
3139,2.3,50
13181,0.9,50
6014,1.3,50
13014,2.9,50
10062,1.0,50
6614,2.2,50
10118,3.0,50
6250,1.6,50
14612,3.0,50
415,2.9,50
9476,1.5,50
363,2.0,50
9607,2.2,50
1216,0.8,50
14288,2.2,50
4346,3.0,50
912,2.2,50
11165,2.4,50
14567,0.6,50
4084,2.8,50
10803,1.2,50
4842,2.8,50
4547,1.2,50
5525,2.3,50
7220,2.5,50
3887,1.9,50
13472,1.5,50
7023,1.4,50
6120,0.7,50
5786,1.6,50
8030,1.2,50
9253,2.4,50
6833,2.0,50
12149,1.9,50
10493,2.2,50
13594,2.9,50
13252,1.8,50
12234,2.6,50
3197,1.3,50
14579,1.1,50
1306,1.0,50
10828,2.9,50
6828,2.8,50
8917,2.5,50
12796,1.5,50
14592,2.4,50
4255,2.2,50
13482,2.0,50
6261,2.8,50
10304,1.8,50
6296,3.0,50
7190,2.8,50
3435,0.3,50
254,2.6,50
13090,1.7,50
13333,2.1,50
3765,2.5,50
3436,2.4,50
4428,2.7,50
7438,1.6,50
9791,1.3,50
11711,1.2,50
10942,2.1,50
8161,2.7,50
11582,2.0,50
637,2.6,50
2242,1.0,50
14216,1.7,50
9352,1.3,50
2576,2.8,50
14445,2.8,50
7637,1.3,50
3821,2.2,50
11032,1.9,50
8568,2.7,50
1930,1.9,50
6790,1.6,50
4580,2.1,50
7355,2.8,50
11606,1.6,50
1687,2.9,50
578,0.9,50
13912,1.0,50
12917,1.4,50
3685,2.7,50
10690,1.4,50
5770,1.3,50
6340,0.8,50
114,1.3,50
7742,2.5,50
1291,1.8,50
8481,1.2,50
7460,2.7,50
10565,3.0,50
13110,2.5,50
222,1.4,50
10020,1.7,50
4367,1.9,50
5997,1.0,50
6563,2.6,50
8624,2.4,50
6379,2.3,50
4848,2.2,50
6841,2.1,50
6708,2.7,50
974,0.8,50
11726,1.1,50
6328,1.5,50
561,0.9,50
2690,1.7,50
10800,0.4,50
8641,2.1,50
14137,0.4,50
10974,1.5,50
8138,1.7,50
2980,2.6,50
10083,1.8,50
8208,2.4,50
8024,1.5,50
10304,1.8,50
7285,2.7,50
7846,0.9,50
12842,0.1,50
4435,1.0,50
2928,1.1,50
3284,2.6,50
6150,0.6,50
2654,1.7,50
2899,2.3,50
7805,2.5,50
8631,2.0,50
10388,1.9,50
1139,1.7,50
2399,1.4,50
686,2.3,50
3430,1.8,50
3901,2.2,50
3563,1.8,50
249,2.0,50
5603,2.8,50
7560,2.0,50
11568,1.3,50
