poster_number,number_recommend,avg_node_distance,avg_node_distance_kw,avg_node_distance_wv,avg_node_distance_cv,avg_node_distance_le,avg_random
13408,1,1.4,1.5,0.9,1.6,1.3,2.8
13408,2,1.4,2.0,1.2,1.5,1.2,2.7
13408,3,1.2,2.4,1.5,1.1,1.0,2.8
13408,4,1.1,1.5,1.5,1.3,0.9,2.8
13408,5,1.0,1.9,1.3,1.2,0.9,2.7
13408,6,1.0,2.2,1.3,1.3,0.9,2.8
13408,7,1.1,2.8,1.6,1.2,1.0,2.7
13408,8,1.0,1.9,1.1,1.5,0.6,2.8
13408,9,0.8,1.8,1.0,1.3,0.6,2.9
13408,10,0.7,1.5,1.0,1.0,0.6,2.6
19,1,1.6,2.3,1.8,0.8,1.8,2.8
19,2,0.8,1.1,0.6,0.9,0.5,2.7
19,3,0.5,1.0,0.5,0.9,0.8,2.7
19,4,0.2,1.5,0.6,1.1,0.0,2.9
19,5,0.2,1.2,1.0,0.8,0.1,2.7
19,6,0.2,1.5,1.2,0.9,0.2,2.2
19,7,0.5,2.3,1.4,1.1,0.4,2.9
19,8,0.2,1.9,1.1,1.5,0.6,2.9
19,9,0.2,2.0,1.4,1.4,0.5,2.8
19,10,0.5,1.5,1.2,1.1,0.5,2.7
2448,1,1.4,1.5,1.8,1.7,1.3,2.7
2448,2,1.3,1.0,1.4,0.9,0.8,2.7
2448,3,0.7,2.6,1.0,1.2,0.7,2.8
2448,4,0.5,2.1,0.8,1.1,0.7,2.8
2448,5,0.9,1.3,0.6,0.9,0.9,2.2
2448,6,0.6,1.3,0.8,1.1,0.8,2.5
2448,7,0.6,1.3,0.7,0.8,0.8,2.7
2448,8,0.6,1.4,0.9,0.8,0.9,2.7
2448,9,1.0,1.4,0.9,0.9,0.9,2.7
2448,10,0.8,1.6,0.8,0.9,0.9,2.7
11638,1,0.4,1.8,0.7,1.5,0.4,2.7
11638,2,0.3,1.5,0.4,0.2,0.3,2.8
11638,3,0.5,1.2,0.4,0.3,0.4,2.7
11638,4,0.3,0.9,0.6,0.4,0.3,2.8
11638,5,0.3,1.2,0.4,0.7,0.4,2.7
11638,6,0.4,1.2,0.4,0.4,0.6,3.0
11638,7,0.4,1.8,0.5,0.3,0.5,2.7
11638,8,0.3,1.2,0.6,0.3,0.6,2.5
11638,9,0.5,1.5,0.5,0.5,0.6,2.4
11638,10,0.5,1.7,0.7,0.8,0.7,2.8
13808,1,2.7,2.7,2.2,2.2,2.7,3.0
13808,2,1.3,2.7,1.2,1.8,1.2,2.8
13808,3,1.2,3.0,1.2,1.6,0.9,2.8
13808,4,1.2,3.0,1.3,1.5,0.7,3.0
13808,5,1.2,2.9,1.3,1.3,1.2,3.0
13808,6,0.8,2.6,1.3,1.2,0.7,3.0
13808,7,1.1,2.6,1.3,1.4,0.9,3.0
13808,8,1.1,2.7,1.7,2.3,1.1,3.0
13808,9,1.7,2.8,1.6,2.2,1.3,3.0
13808,10,1.5,2.6,1.7,2.5,1.7,2.9
12367,1,2.6,2.7,2.6,2.5,2.7,3.0
12367,2,1.9,2.7,1.9,1.7,1.7,3.0
12367,3,1.8,2.7,1.8,1.6,1.9,2.8
