poster_number,avg_node_distance,avg_node_distance_kw,avg_random,number_recommend
9320,0.8,1.6,2.4,1
9320,0.6,2.8,2.7,2
9320,0.4,2.2,2.7,3
9320,0.8,2.2,2.7,4
9320,0.7,1.4,2.9,5
10084,1.6,3.0,2.9,1
10084,1.2,2.3,2.8,2
10084,0.8,2.6,2.7,3
10084,1.0,2.6,2.6,4
10084,1.1,2.9,2.8,5
4264,2.0,2.4,2.8,1
4264,1.7,0.9,2.9,2
4264,1.4,1.7,2.7,3
4264,1.2,1.3,2.9,4
4264,1.1,1.1,2.8,5
11344,0.7,1.6,2.7,1
11344,0.7,1.7,2.9,2
11344,0.6,1.5,2.8,3
11344,0.6,1.5,3.0,4
11344,0.5,1.7,2.7,5
1998,0.4,2.1,2.8,1
1998,1.3,2.4,3.0,2
1998,0.9,2.3,2.9,3
1998,0.6,2.5,3.0,4
1998,0.8,2.5,2.8,5
1513,2.5,2.5,3.0,1
1513,2.1,2.8,2.6,2
1513,2.1,3.0,2.7,3
1513,1.8,3.0,2.7,4
1513,1.4,3.0,2.9,5
4999,2.9,2.8,3.0,1
4999,2.2,2.7,2.9,2
4999,1.6,3.0,3.0,3
4999,1.5,3.0,2.9,4
4999,1.6,3.0,3.0,5
565,0.9,1.0,2.9,1
565,1.0,1.0,2.7,2
565,1.1,1.0,2.7,3
565,0.8,1.0,2.7,4
565,0.8,1.1,2.8,5
8584,1.1,1.8,3.0,1
8584,1.3,2.9,2.9,2
8584,1.2,2.6,3.0,3
8584,1.2,2.4,3.0,4
8584,1.0,2.1,3.0,5
4623,2.8,2.7,3.0,1
4623,2.7,2.8,2.6,2
4623,1.7,2.6,2.8,3
4623,1.6,2.8,2.6,4
4623,1.4,2.5,2.1,5
14692,1.1,1.0,2.8,1
14692,0.8,1.1,2.7,2
14692,0.8,1.6,3.0,3
14692,0.7,1.8,2.7,4
14692,0.7,1.5,2.4,5
920,1.6,1.4,3.0,1
920,1.3,2.1,3.0,2
920,1.2,2.6,3.0,3
920,1.2,2.2,3.0,4
920,1.3,2.2,3.0,5
109,1.8,1.5,2.8,1
109,1.3,1.5,2.6,2
109,1.2,1.3,2.9,3
109,0.9,1.3,2.7,4
109,0.8,1.6,2.5,5
2341,1.5,3.0,2.9,1
2341,1.2,2.7,3.0,2
2341,0.6,3.0,3.0,3
2341,0.5,2.4,3.0,4
2341,0.9,2.4,3.0,5
1136,2.5,1.7,2.7,1
1136,1.8,1.5,2.9,2
1136,1.3,1.9,2.8,3
1136,1.0,1.5,2.9,4
1136,1.3,2.0,2.7,5
13426,2.7,2.4,2.8,1
13426,1.2,2.8,2.9,2
13426,1.1,3.0,3.0,3
13426,0.9,3.0,2.8,4
